basisOfRecord,class,date_end,date_start,date_year,decimalLatitude,decimalLongitude,depth,eventDate,family,genus,kingdom,locality,marine,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceStatus,order,phylum,scientificName,species,flags,bathymetry,shoredistance,sst,sss,brackish,subphylum
HumanObservation,Phaeophyceae,1189036800000.0,1189036800000.0,2007.0,35.472387,-121.029631,7.5,2007-09-06,Lessoniaceae,Egregia,Chromista,ESTERO_CEN,True,7.5,7.5,2021-11-30 14:51:25,present,Laminariales,Ochrophyta,Egregia menziesii,Egregia menziesii,[],18.0,1014,13.43,33.22,,
MATERIAL_SAMPLE,Pelagophyceae,1277769600000.0,1277769600000.0,2010.0,-17.4962,42.2173,5.0,2010-06-29,,,Chromista,,True,5.0,5.0,,,Pelagomonadales,Ochrophyta,Pelagomonadales,,[],1699.0,71579,27.53,34.98,,
HumanObservation,Aves,518227200000.0,518227200000.0,1986.0,-24.1134,152.71438,0.0,1986-06-04,Laridae,Larus,Animalia,Lady Elliot Island,True,0.0,0.0,2022-05-24 09:56:36,present,Charadriiformes,Chordata,Larus novaehollandiae,Larus novaehollandiae,['ON_LAND'],-7.47,-285,24.37,35.35,,Vertebrata
MaterialSample,Thermoplasmata,1437609600000.0,1437609600000.0,2015.0,-32.0,115.41667,20.0,2015-07-23T15:20:00Z,,,Archaea,Rottnest Island,True,20.0,20.0,2022-08-01T06:14:30Z,present,,Euryarchaeota,Thermoplasmata,,[],43.0,3903,20.89,35.53,,
PreservedSpecimen,Polychaeta,1031875200000.0,1031875200000.0,2002.0,52.1478,3.7495,7.5,2002-09-13T06:31:00+00:00,,,Animalia,,True,10.0,5.0,2020-09-01 12:26:06,present,,Annelida,Polychaeta,,[],24.4,24145,12.11,31.46,True,
MATERIAL_SAMPLE,Dinophyceae,1463529600000.0,1463529600000.0,2016.0,-50.007,-169.9925,36.0,2016-05-18,Amphidomataceae,,Chromista,,True,36.0,36.0,,,Gonyaulacales,Myzozoa,Amphidomataceae,,[],5290.0,770093,9.5,34.39,,Dinozoa
MachineObservation,Copepoda,,,,34.682718,139.444779,20.0,2015-11-10T18:13:44.35+09:00,,,Animalia,,True,20.0,20.0,2023-03-27T11:47:31.503272+09:00,Present,,Arthropoda,Copepoda,,[],231.0,21,20.68,34.11,True,Crustacea
MaterialSample,Thermoplasmata,1287964800000.0,1287964800000.0,2010.0,-32.29865,154.38861,55.0,2010-10-25T19:45:00Z,,,Archaea,Tasman Sea - Cold core eddy,True,55.0,55.0,2022-06-25T10:21:07Z,present,,Euryarchaeota,Thermoplasmata,,[],4764.0,162041,22.4,35.57,,
Occurrence,Bacillariophyceae,880848000000.0,880848000000.0,1997.0,42.7696,-68.7053,7.5,1997-11-30,Chaetocerotaceae,Chaetoceros,Chromista,,True,10.0,5.0,2012-05-30 00:00:00,present,Chaetocerotanae incertae sedis,Heterokontophyta,Chaetoceros,,[],201.0,113243,11.15,32.05,True,Bacillariophytina
PreservedSpecimen,Gastropoda,1067558400000.0,1067558400000.0,2003.0,-23.098,-44.407,23.0,2003-10-31T12:00:00Z,Cerithiopsidae,Cerithiopsis,Animalia,Laje do Coronel,True,23.0,23.0,,,Caenogastropoda incertae sedis,Mollusca,Cerithiopsis,,[],11.0,3092,23.86,36.0,True,
PreservedSpecimen,Malacostraca,458870400000.0,458870400000.0,1984.0,28.9169998169,-82.6999969482,1.315,1984-07-17T12:00:00Z,Unciolidae,Rudilemboides,Animalia,"Crystal Bay, Extended About 16 Km Offshore From Crystal River Power Plant",True,2.17,0.46,,,Amphipoda,Arthropoda,Rudilemboides naglei,Rudilemboides naglei,[],2.0,176,23.96,35.27,False,Crustacea
HumanObservation,Polychaeta,1211932800000.0,1211932800000.0,2008.0,59.1202,-5.085593,65.0,2008-05-28,Serpulidae,Salmacina,Animalia,,True,,65.0,2022-01-18 09:29:51,present,Sabellida,Annelida,Salmacina dysteri,Salmacina dysteri,[],65.6,34700,10.58,35.26,False,
Occurrence,Teleostei,1312070400000.0,1312070400000.0,2011.0,45.789,-58.1215,62.0,2011-07-31T00:31:00,Sebastidae,Sebastes,Animalia,,True,124.0,0.0,2023-11-24 15:33:32,present,Perciformes,Chordata,Sebastes,,[],234.0,122264,7.84,31.22,True,Vertebrata
PreservedSpecimen,Copepoda,541468800000.0,541468800000.0,1987.0,-12.65,141.65,12.0,1987-02-28T18:23:00Z,Oithonidae,Oithona,Animalia,,True,12.0,12.0,2017-06-29T12:33:26,present,Cyclopoida,Arthropoda,Oithona,,[],12.0,7719,27.76,34.16,True,Crustacea
HumanObservation,Bacillariophyceae,,,,60.2666666666667,-146.791666666667,7.5,,Pleurosigmataceae,Gyrosigma,Chromista,,True,10.0,5.0,2023-12-07 13:49:23.567,,Naviculales,Heterokontophyta,Gyrosigma,,[],208.0,4998,8.1,31.36,True,Bacillariophytina
MATERIAL_SAMPLE,Bacillariophyceae,1485907200000.0,1485907200000.0,2017.0,-64.9945,120.625,0.0,2017-02-01,Bacillariaceae,Fragilariopsis,Chromista,,True,0.0,0.0,,,Bacillariales,Heterokontophyta,Fragilariopsis,,[],2992.0,183825,-1.34,33.92,,Bacillariophytina
MaterialSample,Dinophyceae,1473984000000.0,1473984000000.0,2016.0,-32.47202,154.10265,250.0,2016-09-16T23:55:34Z,,,Chromista,Transect - Middle,True,250.0,250.0,2022-06-28T00:27:14Z,present,Syndiniales,Myzozoa,Syndiniales,,[],4791.0,144817,22.43,35.57,True,Dinozoa
MaterialSample,Gymnolaemata,1526774400000.0,1526774400000.0,2018.0,50.54735,-4.998945,9.5,2018-05-20,Bugulidae,Crisularia,Animalia,,True,11.0,8.0,,present,Cheilostomatida,Bryozoa,Crisularia plumosa,Crisularia plumosa,[],5.4,324,12.81,34.33,False,
HumanObservation,Mammalia,1335830400000.0,1335830400000.0,2012.0,59.821533,-1.2769,0.0,2012-05-01T00:00:00,Balaenopteridae,Balaenoptera,Animalia,,True,0.0,0.0,,present,Cetartiodactyla,Chordata,Balaenoptera acutorostrata,Balaenoptera acutorostrata,[],82.0,3418,9.83,35.28,,Vertebrata
Occurrence,Teleostei,1550707200000.0,1550707200000.0,2019.0,55.7166,19.9666,38.0,2019-02-21T14:30:00,Pleuronectidae,Platichthys,Animalia,,True,76.0,0.0,2023-04-05 17:28:04,present,Pleuronectiformes,Chordata,Platichthys flesus,Platichthys flesus,[],76.0,69424,10.12,7.0,True,Vertebrata
HumanObservation,Mammalia,1153008000000.0,1153008000000.0,2006.0,54.85,-5.72,0.0,2006-07-16T20:10:00,Phocoenidae,Phocoena,Animalia,,True,0.0,0.0,,present,Cetartiodactyla,Chordata,Phocoena phocoena,Phocoena phocoena,[],-9.0,78,10.8,34.46,True,Vertebrata
HumanObservation,Dinophyceae,,,,51.426,-12.8812,7.5,,Ceratiaceae,Tripos,Chromista,,True,10.0,5.0,2024-12-19 17:27:59.033,,Gonyaulacales,Myzozoa,Tripos fusus,Tripos fusus,[],1696.4,164983,13.25,35.51,,Dinozoa
MaterialSample,Alphaproteobacteria,1495929600000.0,1495929600000.0,2017.0,-19.30847,147.61842,20.0,2017-05-28T12:11:00Z,,,Bacteria,Yongala,True,20.0,20.0,2022-08-01T05:01:49Z,present,,Proteobacteria,Alphaproteobacteria,,[],28.42,18574,25.57,35.25,True,
HumanObservation,Teleostei,1335312000000.0,1335312000000.0,2012.0,-14.17356088,-169.681232,6.5,2012-04-25T19:00:00Z,Chaetodontidae,Chaetodon,Animalia,,True,6.5,6.5,2020-01-07,present,Acanthuriformes,Chordata,Chaetodon vagabundus,Chaetodon vagabundus,[],-21.0,259,28.7,35.19,False,Vertebrata
Occurrence,Teleostei,714873600000.0,714873600000.0,1992.0,58.75,0.45,131.0,1992-08-27T17:22:00+00:00,Gadidae,Melanogrammus,Animalia,,True,131.0,,2011-01-01 00:00:00,present,Gadiformes,Chordata,Melanogrammus aeglefinus,Melanogrammus aeglefinus,[],128.4,145541,10.22,35.16,False,Vertebrata
HumanObservation,Dinophyceae,,,,61.03,-17.1967,7.5,,Dinophysaceae,Dinophysis,Chromista,,True,10.0,5.0,2024-12-19 17:27:59.033,,Dinophysales,Myzozoa,Dinophysis,,[],2446.0,274047,10.19,35.24,True,Dinozoa
PreservedSpecimen,Malacostraca,1123545600000.0,1123545600000.0,2005.0,-35.3584,118.29,193.0,2005-08-09,,,Animalia,"Indian Ocean, Albany region, T6 200",True,193.0,193.0,2017-02-09T13:26:46,present,Tanaidacea,Arthropoda,Tanaidacea,,[],256.0,37007,19.04,35.58,True,Crustacea
HumanObservation,Copepoda,1206316800000.0,1206316800000.0,2008.0,44.3400001526,-57.5299987793,216.5,2008-03-24T12:00:00Z,Metridinidae,Metridia,Animalia,,True,433.0,0.0,,,Calanoida,Arthropoda,Metridia lucens,Metridia lucens,"['NO_ACCEPTED_NAME', 'DEPTH_EXCEEDS_BATH']",319.0,171297,9.02,31.8,False,Crustacea
PreservedSpecimen,Copepoda,72662400000.0,72662400000.0,1972.0,62.4667,-9.7567,7.5,1972-04-21 22:40:00+01,Calanidae,Calanus,Animalia,,True,10.0,5.0,,present,Calanoida,Arthropoda,Calanus,,[],594.0,114595,9.51,35.25,False,Crustacea
HumanObservation,Teleostei,1559520000000.0,1559520000000.0,2019.0,53.6893,-130.7128,135.0,2019-06-03T17:47:12,Pleuronectidae,Glyptocephalus,Animalia,,True,136.0,134.0,,present,Pleuronectiformes,Chordata,Glyptocephalus zachirus,Glyptocephalus zachirus,[],130.0,11044,9.36,30.14,False,Vertebrata
MaterialSample,Thaumarchaeota incertae sedis,1433894400000.0,1433894400000.0,2015.0,-32.7224,153.2212833,79.0,2015-06-10T01:43:00Z,Nitrosopumilaceae,,Archaea,FORSTER NS,True,79.0,79.0,2022-06-24T21:40:35Z,present,Nitrosopumilales,Thaumarchaeota,Nitrosopumilaceae,,[],3557.0,68901,22.36,35.54,,
MaterialSample,Thaumarchaeota incertae sedis,1450224000000.0,1450224000000.0,2015.0,-42.59667,148.23333,85.0,2015-12-16T22:35:00Z,Nitrosopumilaceae,,Archaea,Maria Island,True,85.0,85.0,2022-06-24T00:00:30Z,present,Nitrosopumilales,Thaumarchaeota,Nitrosopumilaceae,,[],85.0,7753,14.65,35.3,,
Occurrence,Copepoda,388540800000.0,388540800000.0,1982.0,42.833333333333336,14.85,37.5,1982-04-25,Oithonidae,Oithona,Animalia,,True,50.0,25.0,2009-11-20 20:20:00,present,Cyclopoida,Arthropoda,Oithona plumifera,Oithona plumifera,[],226.8,57250,18.79,37.72,True,Crustacea
HumanObservation,Aves,1387929600000.0,1387929600000.0,2013.0,-43.587,146.672,0.0,2013-12-25 06:00:00,Phalacrocoracidae,Phalacrocorax,Animalia,SCT - Surprise Bay to Granite Beach,True,0.0,0.0,2021-02-12T05:12:08,present,Pelecaniformes,Chordata,Phalacrocorax fuscescens,Phalacrocorax fuscescens,"['DEPTH_EXCEEDS_BATH', 'ON_LAND']",-112.0,-812,13.96,35.22,,Vertebrata
Occurrence,Tentaculata,1237248000000.0,1237248000000.0,2009.0,54.66783333,5.50133333,20.0,2009-03-17T10:11:00,Cydippidae,Pleurobrachia,Animalia,,True,40.0,0.0,2025-05-13 16:20:21,present,Cydippida,Ctenophora,Pleurobrachia,,[],43.2,133587,11.36,34.47,True,
Occurrence,Cyanophyceae,1439942400000.0,1439942400000.0,2015.0,54.39375,19.63996667,1.6,2015-08-19T10:25:00,Gomphosphaeriaceae,Gomphosphaeria,Bacteria,,True,3.2,0.0,2025-05-13 16:20:21,present,Chroococcales,Cyanobacteria,Gomphosphaeria,,[],-5.0,3788,10.47,6.83,True,
Occurrence,Teleostei,715996800000.0,715996800000.0,1992.0,54.45,5.9,41.0,1992-09-09T13:15:00+00:00,Pleuronectidae,Limanda,Animalia,,True,41.0,,2011-01-01 00:00:00,present,Pleuronectiformes,Chordata,Limanda limanda,Limanda limanda,[],40.8,105824,11.51,34.27,False,Vertebrata
PreservedSpecimen,Teleostei,830476800000.0,830476800000.0,1996.0,59.8166667,-148.3358333,0.0,1996-04-26,Myctophidae,Protomyctophum,Animalia,,True,0.0,0.0,2005-01-20,present,Myctophiformes,Chordata,Protomyctophum thompsoni,Protomyctophum thompsoni,[],123.0,13860,7.78,31.55,False,Vertebrata
HumanObservation,Malacostraca,,,,44.45,-64.11,9.14,,Nephropidae,Homarus,Animalia,Scotian Shelf and the bay of Fundy,True,9.14,9.14,2013-03-23T18:00:000Z,,Decapoda,Arthropoda,Homarus americanus,Homarus americanus,[],12.0,1787,8.78,30.44,False,Crustacea
MaterialSample,Gastropoda,1368403200000.0,1368403200000.0,2013.0,49.13158,-9.101234,144.0,2013-05-13,Turritellidae,Turritellinella,Animalia,,True,144.0,,,present,Caenogastropoda incertae sedis,Mollusca,Turritellinella tricarinata,Turritellinella tricarinata,[],148.4,208704,13.7,35.47,False,
MaterialSample,Thaumarchaeota incertae sedis,1615248000000.0,1615248000000.0,2021.0,-19.30847,147.61842,26.0,2021-03-09T14:05:00Z,Nitrosopumilaceae,,Archaea,Yongala,True,26.0,26.0,2022-08-01T05:14:32Z,present,Nitrosopumilales,Thaumarchaeota,Nitrosopumilaceae,,[],28.42,18574,25.57,35.25,,
